repo_name,year,matched_historical_panel,collaboration_niche,issues_opened,issues_closed_during_window,issues_open_at_cutoff,issue_flow_balance,prs_opened,prs_closed_during_window,prs_open_at_cutoff,pr_flow_balance,issue_unresolved_90d_share,pr_unresolved_90d_share,pr_merged_90d_share,push_actors,actors_for_50pct_pushes,top_5_actor_share
n8n-io/n8n,2026,yes,agent_framework,2879,3020,285,-141,10588,9925,611,663,0.087613,0.081659,0.708854,106,15,0.234526
ollama/ollama,2024,yes,model_infra,3137,2429,492,708,1494,1279,22,215,0.262048,0.136808,0.679696,12,2,0.842812
ollama/ollama,2025,yes,model_infra,2769,2081,580,688,1038,864,155,174,0.285489,0.189679,0.603905,10,3,0.813976
ollama/ollama,2026,yes,model_infra,2176,1664,889,512,2271,1153,1087,1118,0.4,0.428799,0.377884,10,2,0.807742
omnigent-ai/omnigent,2024,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
omnigent-ai/omnigent,2025,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
omnigent-ai/omnigent,2026,no,agent_framework,1267,771,461,496,4665,3509,642,1156,,,,24,3,0.769425
open-metadata/OpenMetadata,2024,yes,model_infra,840,873,22,-33,2219,2190,0,29,0.33574,0.017366,0.940666,25,6,0.497653
open-metadata/OpenMetadata,2025,yes,model_infra,1141,858,106,283,2774,2722,0,52,0.408882,0.016049,0.924691,38,7,0.423683
open-metadata/OpenMetadata,2026,yes,model_infra,1821,1708,473,113,5387,4982,120,405,0.306471,0.057944,0.751028,45,8,0.37497
open-webui/open-webui,2024,yes,agent_application,1807,1696,3,111,1334,1317,0,17,0.084746,0.006418,0.747112,1,1,1.0
open-webui/open-webui,2025,yes,agent_application,3117,3039,14,78,2113,2058,1,55,0.02306,0.011442,0.529367,1,1,1.0
open-webui/open-webui,2026,yes,agent_application,2312,2318,114,-6,5168,4880,46,288,0.019809,0.016596,0.241606,1,1,1.0
openai/codex,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
openai/codex,2025,no,agent_application,1168,700,29,468,1687,1507,0,180,0.341202,0.047267,0.605613,37,2,0.776712
openai/codex,2026,no,agent_application,21308,7683,14294,13625,141,138,3,3,0.483696,0.5,0.0,261,8,0.400704
openclaw/openclaw,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
openclaw/openclaw,2025,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
openclaw/openclaw,2026,no,agent_application,49942,46314,3508,3628,81997,76189,2067,5808,0.043661,0.014268,0.210773,85,1,0.782756
openvinotoolkit/openvino,2024,yes,model_infra,400,300,21,100,3956,3925,1,31,0.40678,0.018987,0.796677,45,2,0.675762
openvinotoolkit/openvino,2025,yes,model_infra,410,307,83,103,3162,3075,3,87,0.541796,0.030303,0.756177,10,2,0.934524
openvinotoolkit/openvino,2026,yes,model_infra,498,486,193,12,3646,3335,401,311,0.39759,0.144551,0.633379,11,2,0.872642
paperclipai/paperclip,2024,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
paperclipai/paperclip,2025,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
paperclipai/paperclip,2026,no,agent_framework,3023,805,2171,2218,9377,5487,3105,3890,0.797344,0.38969,0.134308,7,1,0.994755
pingdotgg/t3code,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
pingdotgg/t3code,2025,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
pingdotgg/t3code,2026,no,agent_application,2480,1915,523,565,5924,3727,810,2197,0.159447,0.064696,0.38483,7,1,0.995373
pydantic/pydantic-ai,2024,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
pydantic/pydantic-ai,2025,no,agent_framework,1036,837,80,199,1123,1082,0,41,0.297546,0.017188,0.760938,11,2,0.926779
pydantic/pydantic-ai,2026,no,agent_framework,1382,1147,396,235,2637,2366,209,271,0.217391,0.065952,0.511954,11,2,0.963014
pytorch/pytorch,2024,yes,model_infra,5787,4266,1368,1521,12480,12221,30,259,0.486753,0.043873,0.018136,216,19,0.228278
pytorch/pytorch,2025,yes,model_infra,5522,4351,1415,1171,12213,11849,32,364,0.449523,0.069803,0.022337,211,13,0.32008
pytorch/pytorch,2026,yes,model_infra,4565,6840,1565,-2275,19233,14714,3314,4519,0.282406,0.127222,0.014116,163,15,0.274413
ray-project/ray,2024,yes,model_infra,2124,1540,493,584,3178,3094,2,84,0.421842,0.089496,0.751766,41,2,0.763933
ray-project/ray,2025,yes,model_infra,1891,2719,506,-828,4673,4973,65,-300,0.488392,0.036515,0.724512,56,6,0.478388
ray-project/ray,2026,yes,model_infra,909,862,429,47,5050,4584,508,466,0.450658,0.066687,0.601091,63,5,0.536787
router-for-me/CLIProxyAPI,2024,no,agent_runtime_infra,0,0,0,0,0,0,0,0,,,,0,0,
router-for-me/CLIProxyAPI,2025,no,agent_runtime_infra,15,12,0,3,3,3,0,0,,,,1,1,1.0
router-for-me/CLIProxyAPI,2026,no,agent_runtime_infra,2301,2250,75,51,1688,1201,405,487,0.009155,0.138542,0.335417,6,1,0.998681
sgl-project/sglang,2024,yes,model_infra,456,373,1,83,775,767,0,8,0.411523,0.008511,0.889362,13,2,0.983833
sgl-project/sglang,2025,yes,model_infra,2180,1746,21,434,4803,4207,37,596,0.108434,0.083805,0.733484,43,2,0.697104
sgl-project/sglang,2026,yes,model_infra,2895,2734,761,161,18027,13170,3921,4857,0.08368,0.203411,0.584933,78,6,0.491424
siyuan-note/siyuan,2024,yes,agent_application,2204,1887,12,317,121,123,0,-2,0.104407,0.0,0.762887,2,1,1.0
siyuan-note/siyuan,2025,yes,agent_application,1858,1738,3,120,173,165,0,8,0.114824,0.011765,0.8,2,1,1.0
siyuan-note/siyuan,2026,yes,agent_application,1882,2270,25,-388,421,428,1,-7,0.033103,0.032154,0.803859,3,1,1.0
stablyai/orca,2024,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
stablyai/orca,2025,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
stablyai/orca,2026,no,agent_framework,4690,2341,2327,2349,12900,9304,2515,3596,0.08,0.019831,0.917504,6,2,0.999051
supabase/supabase,2024,yes,agent_runtime_infra,773,835,7,-62,2801,2746,2,55,0.189189,0.056667,0.820556,67,5,0.519121
supabase/supabase,2025,yes,agent_runtime_infra,701,807,55,-106,2944,2728,46,216,0.228774,0.091763,0.807629,91,6,0.477314
supabase/supabase,2026,yes,agent_runtime_infra,833,793,156,40,6114,5383,633,731,0.148289,0.10636,0.687774,149,8,0.374868
triton-lang/triton,2024,yes,model_infra,414,197,208,217,1321,1292,2,29,0.555985,0.008801,0.859186,23,2,0.804653
triton-lang/triton,2025,yes,model_infra,312,202,123,110,2159,2106,41,53,0.440367,0.039075,0.829346,32,3,0.765099
triton-lang/triton,2026,yes,model_infra,253,189,94,64,2120,1831,260,289,0.398496,0.084483,0.734483,31,3,0.741452
unslothai/unsloth,2024,yes,model_infra,716,243,55,473,200,185,0,15,0.634271,0.083333,0.875,2,1,1.0
unslothai/unsloth,2025,yes,model_infra,1308,1202,239,106,351,301,0,50,0.522356,0.18408,0.626866,2,1,1.0
unslothai/unsloth,2026,yes,model_infra,1542,1394,520,148,4607,3987,388,620,0.310452,0.095032,0.665947,13,1,0.977457
vercel/ai,2024,yes,agent_framework,471,350,11,121,1161,1141,0,20,0.327586,0.032193,0.806841,11,1,0.955588
vercel/ai,2025,yes,agent_framework,1155,843,127,312,2522,2409,5,113,0.376991,0.057143,0.806122,17,1,0.869117
vercel/ai,2026,yes,agent_framework,1189,1381,321,-192,7245,5719,808,1526,0.422287,0.131487,0.715452,37,2,0.809326
verl-project/verl,2024,no,model_infra,0,0,0,0,0,0,0,0,,,,0,0,
verl-project/verl,2025,no,model_infra,1410,474,184,936,1749,1582,114,167,0.600264,0.066524,0.733906,12,2,0.926879
verl-project/verl,2026,no,model_infra,696,1473,316,-777,2148,1790,343,358,0.539112,0.131109,0.569434,18,1,0.860294
vllm-project/vllm,2024,yes,model_infra,2759,2141,8,618,2747,2448,0,299,0.447313,0.108696,0.677795,19,3,0.721116
vllm-project/vllm,2025,yes,model_infra,4715,4141,49,574,7459,6819,24,640,0.540799,0.108193,0.709398,34,4,0.655863
vllm-project/vllm,2026,yes,model_infra,5043,4591,2102,452,17870,12890,4768,4980,0.531014,0.240977,0.491614,59,8,0.411078
vllm-project/vllm-ascend,2024,no,model_infra,0,0,0,0,0,0,0,0,,,,0,0,
vllm-project/vllm-ascend,2025,no,model_infra,802,432,32,370,1855,1703,1,152,0.221918,0.004444,0.705185,6,1,0.997484
vllm-project/vllm-ascend,2026,no,model_infra,2440,1899,1216,541,7422,5814,1439,1608,0.631126,0.108099,0.589484,19,1,0.852292
vllm-project/vllm-omni,2024,no,model_infra,0,0,0,0,0,0,0,0,,,,0,0,
vllm-project/vllm-omni,2025,no,model_infra,0,0,0,0,0,0,0,0,,,,0,0,
vllm-project/vllm-omni,2026,no,model_infra,2008,1375,712,633,4285,3192,949,1093,0.311034,0.120104,0.6745,21,2,0.796733
volcengine/OpenViking,2024,no,agent_runtime_infra,0,0,0,0,0,0,0,0,,,,0,0,
volcengine/OpenViking,2025,no,agent_runtime_infra,0,0,0,0,0,0,0,0,,,,0,0,
volcengine/OpenViking,2026,no,agent_runtime_infra,999,794,195,205,3438,2761,373,677,0.068571,0.05594,0.758939,24,3,0.769128
wandb/wandb,2024,yes,model_infra,363,318,71,45,1100,1061,2,39,0.443515,0.086471,0.76848,42,3,0.686805
wandb/wandb,2025,yes,model_infra,227,165,90,62,1036,1004,14,32,0.427586,0.047022,0.81348,29,2,0.826647
wandb/wandb,2026,yes,model_infra,120,112,43,8,1323,1131,179,192,0.369048,0.10989,0.733516,37,3,0.823935
warpdotdev/warp,2024,yes,agent_application,1244,628,430,616,3,3,0,0,0.612869,0.0,0.666667,2,1,1.0
warpdotdev/warp,2025,yes,agent_application,1591,564,574,1027,4,4,0,0,0.704571,0.0,0.666667,3,1,1.0
warpdotdev/warp,2026,yes,agent_application,2660,2931,1304,-271,4637,3026,1302,1611,0.456198,0.204013,0.520067,49,7,0.435235
weaviate/weaviate,2024,yes,agent_runtime_infra,268,129,93,139,1464,1410,1,54,0.610778,0.049462,0.756989,28,4,0.622959
weaviate/weaviate,2025,yes,agent_runtime_infra,154,202,76,-48,2089,2007,10,82,0.580645,0.047222,0.802778,31,5,0.5469
weaviate/weaviate,2026,yes,agent_runtime_infra,208,148,147,60,2480,2311,213,169,0.513889,0.069329,0.755087,25,4,0.623141
zeroclaw-labs/zeroclaw,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
zeroclaw-labs/zeroclaw,2025,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
zeroclaw-labs/zeroclaw,2026,no,agent_application,2901,2400,496,501,6903,6470,300,433,0.04191,0.0,0.612227,20,2,0.822354
