repo_name,year,matched_historical_panel,collaboration_niche,issues_opened,issues_closed_during_window,issues_open_at_cutoff,issue_flow_balance,prs_opened,prs_closed_during_window,prs_open_at_cutoff,pr_flow_balance,issue_unresolved_90d_share,pr_unresolved_90d_share,pr_merged_90d_share,push_actors,actors_for_50pct_pushes,top_5_actor_share
NVIDIA/TensorRT-LLM,2026,yes,model_infra,655,614,304,41,7411,6394,764,1017,0.402597,0.094937,0.684304,152,24,0.215909
NVIDIA/cudf,2024,yes,model_infra,523,502,106,21,1501,1486,0,15,0.412121,0.027304,0.881684,14,2,0.913858
NVIDIA/cudf,2025,yes,model_infra,531,478,130,53,1663,1683,4,-20,0.398119,0.026193,0.872778,12,1,0.927419
NVIDIA/cudf,2026,yes,model_infra,550,440,273,110,2392,2338,112,54,0.442857,0.027554,0.869624,19,2,0.796875
NousResearch/hermes-agent,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
NousResearch/hermes-agent,2025,no,agent_application,0,0,0,0,2,1,0,1,,,,0,0,
NousResearch/hermes-agent,2026,no,agent_application,25182,12318,12770,12864,74099,40996,25015,33103,0.313234,0.203503,0.189956,21,1,0.93652
OpenHands/software-agent-sdk,2024,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
OpenHands/software-agent-sdk,2025,no,agent_framework,30,8,5,22,36,31,0,5,1.0,,,1,1,1.0
OpenHands/software-agent-sdk,2026,no,agent_framework,1073,1027,197,46,2142,1892,238,250,0.109029,0.045317,0.73716,21,4,0.703396
PaddlePaddle/Paddle,2024,yes,model_infra,650,746,126,-96,6748,6745,21,3,0.502358,0.08344,0.768109,85,6,0.48719
PaddlePaddle/Paddle,2025,yes,model_infra,427,417,118,10,3947,3996,24,-49,0.610108,0.090741,0.75,64,6,0.453474
PaddlePaddle/Paddle,2026,yes,model_infra,236,231,173,5,2293,2252,334,41,0.646341,0.139234,0.683216,42,3,0.740973
QwenLM/qwen-code,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
QwenLM/qwen-code,2025,no,agent_application,342,114,28,228,137,104,0,33,,,,7,2,0.980132
QwenLM/qwen-code,2026,no,agent_application,3467,2867,844,600,5588,5143,223,445,0.214586,0.023297,0.724612,25,3,0.714038
Significant-Gravitas/AutoGPT,2024,yes,agent_application,465,446,12,19,763,1114,0,-351,0.212963,0.025641,0.176923,8,3,0.831421
Significant-Gravitas/AutoGPT,2025,yes,agent_application,369,365,57,4,1242,1218,0,24,0.318584,0.029762,0.635417,14,3,0.798035
Significant-Gravitas/AutoGPT,2026,yes,agent_application,311,238,141,73,1969,1667,225,302,0.460396,0.084155,0.61865,13,2,0.83502
a2ui-project/a2ui,2024,no,agent_runtime_infra,0,0,0,0,0,0,0,0,,,,0,0,
a2ui-project/a2ui,2025,no,agent_runtime_infra,0,0,0,0,0,0,0,0,,,,0,0,
a2ui-project/a2ui,2026,no,agent_runtime_infra,632,441,240,191,1339,1232,84,107,0.47205,0.080863,0.680593,18,4,0.67658
aaif-goose/goose,2024,no,agent_application,5,3,0,2,22,15,0,7,,,,7,2,0.931818
aaif-goose/goose,2025,no,agent_application,955,706,0,249,2861,2835,0,26,0.33996,0.010889,0.810647,53,7,0.393223
aaif-goose/goose,2026,no,agent_application,1439,1460,151,-21,3806,3544,68,262,0.083863,0.00257,0.695931,35,5,0.51194
activepieces/activepieces,2024,yes,agent_framework,426,332,14,94,1498,1495,0,3,0.288026,0.004016,0.926707,8,1,0.980323
activepieces/activepieces,2025,yes,agent_framework,725,582,84,143,1817,1776,0,41,0.378049,0.002075,0.840249,12,1,0.980558
activepieces/activepieces,2026,yes,agent_framework,513,385,244,128,3672,3381,87,291,0.502304,0.03417,0.645761,21,1,0.978507
agentscope-ai/QwenPaw,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
agentscope-ai/QwenPaw,2025,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
agentscope-ai/QwenPaw,2026,no,agent_application,3661,3063,590,598,3575,3111,292,464,0.167246,0.073508,0.652983,15,2,0.923077
agno-agi/agno,2024,yes,agent_framework,164,103,0,61,197,165,0,32,0.305085,0.109489,0.744526,5,1,1.0
agno-agi/agno,2025,yes,agent_framework,959,851,12,108,1624,1575,6,49,0.018605,0.03428,0.816846,21,2,0.778323
agno-agi/agno,2026,yes,agent_framework,1021,598,534,423,2818,2187,598,631,0.46087,0.179408,0.450678,20,2,0.84639
ai-dynamo/dynamo,2024,no,model_infra,0,0,0,0,0,0,0,0,,,,0,0,
ai-dynamo/dynamo,2025,no,model_infra,595,415,2,180,2189,2073,0,116,0.264249,0.048387,0.768817,70,10,0.304647
ai-dynamo/dynamo,2026,no,model_infra,1031,874,368,157,7853,6688,891,1165,0.196507,0.064184,0.707777,117,15,0.247982
anomalyco/opencode,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
anomalyco/opencode,2025,no,agent_application,1542,887,8,655,786,610,0,176,0.0,0.0,0.7,5,1,1.0
anomalyco/opencode,2026,no,agent_application,21333,18373,4010,2960,17953,15351,1379,2602,0.190608,0.029944,0.351572,21,3,0.775029
anthropics/claude-code,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
anthropics/claude-code,2025,no,agent_application,6682,3770,97,2912,116,109,5,7,0.362288,0.029412,0.588235,10,1,0.951456
anthropics/claude-code,2026,no,agent_application,72982,64927,13832,8055,969,287,668,682,0.034668,0.689974,0.05409,16,1,0.887931
apache/airflow,2024,yes,model_infra,1124,1007,78,117,3627,3572,0,55,0.251453,0.020824,0.864428,29,2,0.714978
apache/airflow,2025,yes,model_infra,2165,1924,198,241,7093,6971,1,122,0.251317,0.011902,0.825438,39,4,0.603126
apache/airflow,2026,yes,model_infra,1676,1975,459,-299,10392,9569,890,823,0.214897,0.027056,0.745141,39,4,0.60048
