sample_rank,repo_id,repo_name,observation_start,observation_end_exclusive,push_actors,collaboration_actors,github_releases,github_stable_releases,github_prereleases,github_release_days,github_stable_release_days,github_release_median_gap_days,github_release_day_median_gap_days,github_first_release_at,github_latest_release_at,event_source,release_source,quality_flag
45,643445235,lobehub/lobehub,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,14,489,639,90,549,161,55,0.1,1.0,2026-01-01T05:44:22Z,2026-08-29T19:49:30Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
46,575865240,AstrBotDevs/AstrBot,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,8,783,90,90,0,70,70,1.83,2,2026-01-02T04:17:41Z,2026-08-19T16:53:43Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
47,1147094660,HKUDS/nanobot,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,3,967,19,19,0,19,19,7.83,8.0,2026-02-04T09:33:56Z,2026-07-25T08:08:47Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
48,790916393,NVIDIA/Model-Optimizer,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,47,120,31,6,25,28,6,7.27,8,2026-01-05T13:54:47Z,2026-08-28T19:54:59Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
49,824874689,cline/cline,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,36,604,189,184,5,101,99,0.48,2.0,2026-01-06T21:09:53Z,2026-08-28T01:33:08Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
50,1043426082,OpenHands/software-agent-sdk,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,23,216,68,67,1,61,60,2.77,3.0,2026-01-05T20:13:30Z,2026-08-28T16:10:48Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
51,1165324947,agentscope-ai/QwenPaw,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,16,910,113,48,65,82,44,0.96,1,2026-02-27T10:25:24Z,2026-08-28T15:17:20Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
52,949546994,NVIDIA-NeMo/RL,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,70,150,3,3,0,3,3,89.55,89.5,2026-01-31T01:57:05Z,2026-07-29T04:31:13Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
53,818331198,pydantic/pydantic-ai,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,13,461,132,125,7,111,111,1.03,1.0,2026-01-06T00:02:49Z,2026-08-29T01:25:08Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
54,968197216,google-gemini/gemini-cli,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,59,2785,325,74,251,165,63,0.34,1.0,2026-01-03T00:36:39Z,2026-08-29T01:56:42Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
