cohort,rank,repo_id,repo_name,year,push_events,push_actors,actors_for_50pct_pushes,top_actor_share,top_5_actor_share,quality_flag
Agentic AI Top 100,91,250510075,huggingface/trl,2026,1440,14,1,0.634028,0.977083,observed
Agentic AI Top 100,92,627480054,eosphoros-ai/DB-GPT,2024,819,15,4,0.174603,0.684982,observed
Agentic AI Top 100,92,627480054,eosphoros-ai/DB-GPT,2025,277,8,2,0.411552,0.945848,observed
Agentic AI Top 100,92,627480054,eosphoros-ai/DB-GPT,2026,50,5,2,0.42,1.0,observed
Agentic AI Top 100,93,600596928,danny-avila/LibreChat,2024,1447,4,1,0.795439,1.0,observed
Agentic AI Top 100,93,600596928,danny-avila/LibreChat,2025,1761,7,1,0.597388,0.994889,observed
Agentic AI Top 100,93,600596928,danny-avila/LibreChat,2026,2514,6,1,0.869133,0.999602,observed
Agentic AI Top 100,94,631431061,apache/gravitino,2024,1588,14,2,0.497481,0.894207,observed
Agentic AI Top 100,94,631431061,apache/gravitino,2025,869,14,2,0.43038,0.905639,observed
Agentic AI Top 100,94,631431061,apache/gravitino,2026,528,11,2,0.304924,0.873106,observed
Agentic AI Top 100,95,987670088,charmbracelet/crush,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,95,987670088,charmbracelet/crush,2025,255,8,3,0.223529,0.87451,observed
Agentic AI Top 100,95,987670088,charmbracelet/crush,2026,977,11,3,0.254862,0.862845,observed
Agentic AI Top 100,96,846698999,aaif-goose/goose,2024,44,7,2,0.363636,0.931818,observed
Agentic AI Top 100,96,846698999,aaif-goose/goose,2025,6050,53,7,0.095702,0.393223,observed
Agentic AI Top 100,96,846698999,aaif-goose/goose,2026,2387,35,5,0.128613,0.51194,observed
Agentic AI Top 100,97,701547123,open-webui/open-webui,2024,2913,1,1,1.0,1.0,observed
Agentic AI Top 100,97,701547123,open-webui/open-webui,2025,2402,1,1,1.0,1.0,observed
Agentic AI Top 100,97,701547123,open-webui/open-webui,2026,1196,1,1,1.0,1.0,observed
Agentic AI Top 100,98,707441527,livekit/agents,2024,1587,7,2,0.494014,0.993699,observed
Agentic AI Top 100,98,707441527,livekit/agents,2025,2837,22,2,0.279521,0.882975,observed
Agentic AI Top 100,98,707441527,livekit/agents,2026,1315,27,3,0.222053,0.897338,observed
Agentic AI Top 100,99,1012087571,router-for-me/CLIProxyAPI,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,99,1012087571,router-for-me/CLIProxyAPI,2025,51,1,1,1.0,1.0,observed
Agentic AI Top 100,99,1012087571,router-for-me/CLIProxyAPI,2026,758,6,1,0.812665,0.998681,observed
Agentic AI Top 100,100,819733173,kvcache-ai/Mooncake,2024,6,2,1,0.833333,1.0,observed
Agentic AI Top 100,100,819733173,kvcache-ai/Mooncake,2025,481,9,2,0.274428,0.935551,observed
Agentic AI Top 100,100,819733173,kvcache-ai/Mooncake,2026,786,29,2,0.320611,0.792621,observed
Cloud Native benchmark,1,75821432,llvm/llvm-project,2024,28333,939,42,0.037483,0.139978,observed
Cloud Native benchmark,1,75821432,llvm/llvm-project,2025,30730,924,44,0.055158,0.157013,observed
Cloud Native benchmark,1,75821432,llvm/llvm-project,2026,15865,868,59,0.046265,0.120706,observed
Cloud Native benchmark,2,15111821,grafana/grafana,2024,27389,221,31,0.04699,0.171821,observed
Cloud Native benchmark,2,15111821,grafana/grafana,2025,27235,236,25,0.064623,0.18098,observed
Cloud Native benchmark,2,15111821,grafana/grafana,2026,14783,253,30,0.059054,0.170398,observed
Cloud Native benchmark,3,72477752,pulumi/pulumi,2024,3298,32,3,0.217101,0.770467,observed
Cloud Native benchmark,3,72477752,pulumi/pulumi,2025,3451,38,4,0.194726,0.699797,observed
Cloud Native benchmark,3,72477752,pulumi/pulumi,2026,1891,41,3,0.205182,0.756214,observed
Cloud Native benchmark,4,31558937,gravitational/teleport,2024,15293,76,12,0.105408,0.304518,observed
Cloud Native benchmark,4,31558937,gravitational/teleport,2025,11354,78,13,0.098732,0.267395,observed
Cloud Native benchmark,4,31558937,gravitational/teleport,2026,7204,97,16,0.083287,0.236535,observed
Cloud Native benchmark,5,109145553,podman-container-tools/podman,2024,44,6,2,0.386364,0.931818,observed
Cloud Native benchmark,5,109145553,podman-container-tools/podman,2025,3,2,1,0.666667,1.0,observed
Cloud Native benchmark,5,109145553,podman-container-tools/podman,2026,231,11,2,0.428571,0.883117,observed
Cloud Native benchmark,6,28449431,scylladb/scylladb,2024,2683,10,2,0.349609,0.891539,observed
Cloud Native benchmark,6,28449431,scylladb/scylladb,2025,1931,12,2,0.320559,0.872605,observed
Cloud Native benchmark,6,28449431,scylladb/scylladb,2026,1377,20,2,0.342048,0.803195,observed
Cloud Native benchmark,7,473137633,cilium/tetragon,2024,1550,11,2,0.287742,0.805161,observed
Cloud Native benchmark,7,473137633,cilium/tetragon,2025,1010,15,2,0.293069,0.746535,observed
Cloud Native benchmark,7,473137633,cilium/tetragon,2026,679,11,3,0.223859,0.786451,observed
Cloud Native benchmark,8,2211243,apache/kafka,2024,1801,32,5,0.26985,0.551916,observed
Cloud Native benchmark,8,2211243,apache/kafka,2025,1789,33,4,0.297932,0.609838,observed
Cloud Native benchmark,8,2211243,apache/kafka,2026,619,25,3,0.274637,0.676898,observed
Cloud Native benchmark,9,11125589,keycloak/keycloak,2024,2440,15,4,0.204508,0.669262,observed
Cloud Native benchmark,9,11125589,keycloak/keycloak,2025,1694,14,3,0.33412,0.742621,observed
Cloud Native benchmark,9,11125589,keycloak/keycloak,2026,828,13,2,0.371981,0.890097,observed
Cloud Native benchmark,10,385634291,grafana/mimir,2024,6270,57,6,0.129825,0.465231,observed
Cloud Native benchmark,10,385634291,grafana/mimir,2025,5307,60,8,0.136424,0.401734,observed
Cloud Native benchmark,10,385634291,grafana/mimir,2026,2814,59,6,0.129353,0.481521,observed
Cloud Native benchmark,11,302322,gradle/gradle,2024,6744,35,7,0.161032,0.442319,observed
Cloud Native benchmark,11,302322,gradle/gradle,2025,4532,31,7,0.096646,0.422551,observed
Cloud Native benchmark,11,302322,gradle/gradle,2026,2085,28,7,0.088249,0.392806,observed
Cloud Native benchmark,12,157554479,meshery/meshery,2024,2717,19,2,0.464115,0.889584,observed
Cloud Native benchmark,12,157554479,meshery/meshery,2025,2778,34,2,0.417207,0.785457,observed
Cloud Native benchmark,12,157554479,meshery/meshery,2026,1980,33,3,0.206566,0.626263,observed
Cloud Native benchmark,13,65214191,envoyproxy/envoy,2024,2520,21,2,0.446032,0.720238,observed
Cloud Native benchmark,13,65214191,envoyproxy/envoy,2025,1270,21,3,0.388189,0.685827,observed
Cloud Native benchmark,13,65214191,envoyproxy/envoy,2026,958,23,3,0.299582,0.722338,observed
Cloud Native benchmark,14,9759448,apache/cloudstack,2024,828,16,3,0.293478,0.775362,observed
Cloud Native benchmark,14,9759448,apache/cloudstack,2025,749,13,2,0.455274,0.933244,observed
Cloud Native benchmark,14,9759448,apache/cloudstack,2026,411,16,2,0.313869,0.832117,observed
Cloud Native benchmark,15,41986369,pingcap/tidb,2024,145,14,1,0.682759,0.882759,observed
Cloud Native benchmark,15,41986369,pingcap/tidb,2025,167,11,1,0.766467,0.946108,observed
Cloud Native benchmark,15,41986369,pingcap/tidb,2026,330,22,2,0.442424,0.769697,observed
Cloud Native benchmark,16,105944401,yugabyte/yugabyte-db,2024,5261,118,19,0.045999,0.200532,observed
Cloud Native benchmark,16,105944401,yugabyte/yugabyte-db,2025,3467,101,20,0.074416,0.220075,observed
Cloud Native benchmark,16,105944401,yugabyte/yugabyte-db,2026,1917,108,21,0.045383,0.189358,observed
Cloud Native benchmark,17,36487440,gravitee-io/gravitee-api-management,2024,7005,36,6,0.114632,0.440114,observed
Cloud Native benchmark,17,36487440,gravitee-io/gravitee-api-management,2025,5334,38,7,0.118673,0.405324,observed
Cloud Native benchmark,17,36487440,gravitee-io/gravitee-api-management,2026,5089,54,12,0.058754,0.242484,observed
Cloud Native benchmark,18,1357796,emscripten-core/emscripten,2024,854,9,1,0.766979,0.953162,observed
Cloud Native benchmark,18,1357796,emscripten-core/emscripten,2025,987,11,1,0.77001,0.932118,observed
Cloud Native benchmark,18,1357796,emscripten-core/emscripten,2026,458,11,1,0.823144,0.962882,observed
Cloud Native benchmark,19,50904245,apache/beam,2024,1674,27,3,0.241935,0.667861,observed
Cloud Native benchmark,19,50904245,apache/beam,2025,1446,18,3,0.230982,0.693638,observed
Cloud Native benchmark,19,50904245,apache/beam,2026,672,21,3,0.177083,0.723214,observed
Cloud Native benchmark,20,50734768,kubermatic/kubermatic,2024,0,0,0,,,no_push_events_observed
Cloud Native benchmark,20,50734768,kubermatic/kubermatic,2025,2,2,1,0.5,1.0,observed
Cloud Native benchmark,20,50734768,kubermatic/kubermatic,2026,0,0,0,,,no_push_events_observed
Cloud Native benchmark,21,310611,apache/thrift,2024,134,5,1,0.559701,1.0,observed
Cloud Native benchmark,21,310611,apache/thrift,2025,115,6,1,0.791304,0.991304,observed
Cloud Native benchmark,21,310611,apache/thrift,2026,186,6,1,0.731183,0.994624,observed
Cloud Native benchmark,22,20587599,apache/flink,2024,898,49,9,0.094655,0.33853,observed
Cloud Native benchmark,22,20587599,apache/flink,2025,711,49,8,0.090014,0.372714,observed
Cloud Native benchmark,22,20587599,apache/flink,2026,418,37,3,0.282297,0.645933,observed
Cloud Native benchmark,23,17728164,hashicorp/terraform,2024,2393,35,3,0.218554,0.741329,observed
Cloud Native benchmark,23,17728164,hashicorp/terraform,2025,2294,25,3,0.192677,0.720139,observed
Cloud Native benchmark,23,17728164,hashicorp/terraform,2026,848,23,3,0.266509,0.75,observed
Cloud Native benchmark,24,16554739,elastic/beats,2024,3496,99,6,0.1127,0.470538,observed
Cloud Native benchmark,24,16554739,elastic/beats,2025,4003,89,10,0.095928,0.347489,observed
Cloud Native benchmark,24,16554739,elastic/beats,2026,1652,66,8,0.08414,0.37046,observed
Cloud Native benchmark,25,146327667,vectordotdev/vector,2024,966,18,2,0.389234,0.833333,observed
Cloud Native benchmark,25,146327667,vectordotdev/vector,2025,974,7,1,0.741273,0.99076,observed
Cloud Native benchmark,25,146327667,vectordotdev/vector,2026,848,16,2,0.428066,0.869104,observed
Cloud Native benchmark,26,99412308,apache/seatunnel,2024,527,11,2,0.432638,0.914611,observed
Cloud Native benchmark,26,99412308,apache/seatunnel,2025,438,11,2,0.394977,0.913242,observed
Cloud Native benchmark,26,99412308,apache/seatunnel,2026,240,12,2,0.4625,0.933333,observed
Cloud Native benchmark,27,7202769,emqx/emqx,2024,1183,16,3,0.176669,0.64497,observed
Cloud Native benchmark,27,7202769,emqx/emqx,2025,739,12,2,0.300406,0.867388,observed
Cloud Native benchmark,27,7202769,emqx/emqx,2026,580,13,1,0.639655,0.936207,observed
Cloud Native benchmark,28,10744183,netdata/netdata,2024,1575,19,2,0.469206,0.838095,observed
Cloud Native benchmark,28,10744183,netdata/netdata,2025,1115,12,2,0.453812,0.941704,observed
Cloud Native benchmark,28,10744183,netdata/netdata,2026,757,12,2,0.285337,0.858653,observed
Cloud Native benchmark,29,129717717,grafana/loki,2024,4374,39,6,0.152721,0.487426,observed
Cloud Native benchmark,29,129717717,grafana/loki,2025,3973,48,6,0.144224,0.499622,observed
Cloud Native benchmark,29,129717717,grafana/loki,2026,2011,38,6,0.114868,0.480855,observed
Cloud Native benchmark,30,136163130,Flagsmith/flagsmith,2024,2757,9,3,0.178092,0.781284,observed
Cloud Native benchmark,30,136163130,Flagsmith/flagsmith,2025,1920,11,4,0.164062,0.692187,observed
Cloud Native benchmark,30,136163130,Flagsmith/flagsmith,2026,1464,14,4,0.182377,0.691257,observed
Cloud Native benchmark,31,63882194,projectcalico/calico,2024,603,18,4,0.18408,0.643449,observed
Cloud Native benchmark,31,63882194,projectcalico/calico,2025,836,23,5,0.217703,0.552632,observed
Cloud Native benchmark,31,63882194,projectcalico/calico,2026,750,27,4,0.233333,0.609333,observed
Cloud Native benchmark,32,1103607,jenkinsci/jenkins,2024,966,8,1,0.549689,0.990683,observed
Cloud Native benchmark,32,1103607,jenkinsci/jenkins,2025,636,8,2,0.459119,0.990566,observed
Cloud Native benchmark,32,1103607,jenkinsci/jenkins,2026,238,7,1,0.773109,0.987395,observed
Cloud Native benchmark,33,196353673,taosdata/TDengine,2024,8966,50,5,0.174325,0.516953,observed
Cloud Native benchmark,33,196353673,taosdata/TDengine,2025,10717,50,8,0.146683,0.392927,observed
Cloud Native benchmark,33,196353673,taosdata/TDengine,2026,2523,32,7,0.135157,0.421324,observed
Cloud Native benchmark,34,99143276,velero-io/velero,2024,315,9,3,0.215873,0.809524,observed
Cloud Native benchmark,34,99143276,velero-io/velero,2025,241,9,2,0.377593,0.917012,observed
Cloud Native benchmark,34,99143276,velero-io/velero,2026,120,11,2,0.358333,0.875,observed
Cloud Native benchmark,35,114187903,apple/foundationdb,2024,540,19,2,0.362963,0.796296,observed
Cloud Native benchmark,35,114187903,apple/foundationdb,2025,376,15,3,0.332447,0.81117,observed
Cloud Native benchmark,35,114187903,apple/foundationdb,2026,338,13,2,0.467456,0.83432,observed
Cloud Native benchmark,36,20445947,juju/juju,2024,58,2,1,0.844828,1.0,observed
Cloud Native benchmark,36,20445947,juju/juju,2025,101,7,1,0.633663,0.980198,observed
Cloud Native benchmark,36,20445947,juju/juju,2026,73,9,2,0.438356,0.90411,observed
Cloud Native benchmark,37,924551,rabbitmq/rabbitmq-server,2024,3427,16,3,0.333236,0.774146,observed
Cloud Native benchmark,37,924551,rabbitmq/rabbitmq-server,2025,2003,15,3,0.371942,0.798802,observed
Cloud Native benchmark,37,924551,rabbitmq/rabbitmq-server,2026,1219,16,1,0.597211,0.836751,observed
Cloud Native benchmark,38,2649214,arangodb/arangodb,2024,3700,21,4,0.193243,0.68027,observed
Cloud Native benchmark,38,2649214,arangodb/arangodb,2025,1802,20,3,0.199778,0.720311,observed
Cloud Native benchmark,38,2649214,arangodb/arangodb,2026,2099,26,5,0.131968,0.569319,observed
Cloud Native benchmark,39,42408804,traefik/traefik,2024,13,3,1,0.846154,1.0,observed
Cloud Native benchmark,39,42408804,traefik/traefik,2025,1,1,1,1.0,1.0,observed
Cloud Native benchmark,39,42408804,traefik/traefik,2026,185,1,1,1.0,1.0,observed
Cloud Native benchmark,40,101767772,bytecodealliance/wasmtime,2024,183,7,2,0.42623,0.983607,observed
Cloud Native benchmark,40,101767772,bytecodealliance/wasmtime,2025,130,6,1,0.584615,0.992308,observed
Cloud Native benchmark,40,101767772,bytecodealliance/wasmtime,2026,54,4,1,0.592593,1.0,observed
Cloud Native benchmark,41,49876476,apache/shardingsphere,2024,2253,22,3,0.229472,0.766534,observed
Cloud Native benchmark,41,49876476,apache/shardingsphere,2025,1432,12,1,0.739525,0.946927,observed
Cloud Native benchmark,41,49876476,apache/shardingsphere,2026,586,11,1,0.651877,0.914676,observed
Cloud Native benchmark,42,356066,apache/trafficserver,2024,683,19,4,0.168375,0.66325,observed
Cloud Native benchmark,42,356066,apache/trafficserver,2025,374,15,3,0.256684,0.721925,observed
Cloud Native benchmark,42,356066,apache/trafficserver,2026,213,14,3,0.225352,0.737089,observed
Cloud Native benchmark,43,333303663,bytebase/bytebase,2024,3907,9,1,0.815203,0.955209,observed
Cloud Native benchmark,43,333303663,bytebase/bytebase,2025,2491,9,1,0.635488,0.906865,observed
Cloud Native benchmark,43,333303663,bytebase/bytebase,2026,1708,9,2,0.38466,0.81089,observed
Cloud Native benchmark,44,36960321,opencontainers/runc,2024,117,7,2,0.299145,0.957265,observed
Cloud Native benchmark,44,36960321,opencontainers/runc,2025,163,6,2,0.300613,0.993865,observed
Cloud Native benchmark,44,36960321,opencontainers/runc,2026,86,6,2,0.290698,0.988372,observed
Cloud Native benchmark,45,26192117,canonical/lxd,2024,891,2,1,0.977553,1.0,observed
Cloud Native benchmark,45,26192117,canonical/lxd,2025,875,6,1,0.985143,0.998857,observed
Cloud Native benchmark,45,26192117,canonical/lxd,2026,426,5,1,0.929577,1.0,observed
Cloud Native benchmark,46,27911088,apache/nifi,2024,1001,17,2,0.322677,0.882118,observed
Cloud Native benchmark,46,27911088,apache/nifi,2025,405,17,2,0.479012,0.891358,observed
Cloud Native benchmark,46,27911088,apache/nifi,2026,237,9,2,0.417722,0.881857,observed
Cloud Native benchmark,47,313628863,external-secrets/external-secrets,2024,679,6,2,0.368189,0.980854,observed
Cloud Native benchmark,47,313628863,external-secrets/external-secrets,2025,527,4,1,0.694497,1.0,observed
Cloud Native benchmark,47,313628863,external-secrets/external-secrets,2026,277,8,1,0.548736,0.974729,observed
Cloud Native benchmark,48,220517730,quay/quay,2024,444,15,2,0.344595,0.817568,observed
Cloud Native benchmark,48,220517730,quay/quay,2025,383,17,2,0.436031,0.879896,observed
Cloud Native benchmark,48,220517730,quay/quay,2026,658,22,4,0.285714,0.650456,observed
Cloud Native benchmark,49,6358188,apache/druid,2024,949,27,6,0.110643,0.462592,observed
Cloud Native benchmark,49,6358188,apache/druid,2025,512,24,3,0.195312,0.671875,observed
Cloud Native benchmark,49,6358188,apache/druid,2026,274,17,4,0.19708,0.689781,observed
Cloud Native benchmark,50,117377862,gardener/gardener,2024,240,12,3,0.25,0.875,observed
Cloud Native benchmark,50,117377862,gardener/gardener,2025,174,13,3,0.287356,0.827586,observed
Cloud Native benchmark,50,117377862,gardener/gardener,2026,38,8,2,0.447368,0.842105,observed
Cloud Native benchmark,51,3638964,ansible/ansible,2024,668,9,2,0.297904,0.856287,observed
Cloud Native benchmark,51,3638964,ansible/ansible,2025,507,9,2,0.414201,0.879684,observed
Cloud Native benchmark,51,3638964,ansible/ansible,2026,185,9,2,0.291892,0.891892,observed
Cloud Native benchmark,52,496143272,centreon/centreon,2024,9525,46,7,0.094068,0.383622,observed
Cloud Native benchmark,52,496143272,centreon/centreon,2025,6950,37,7,0.089209,0.410791,observed
Cloud Native benchmark,52,496143272,centreon/centreon,2026,2557,37,7,0.120845,0.438795,observed
Cloud Native benchmark,53,54400687,grafana/k6,2024,703,15,3,0.349929,0.806543,observed
Cloud Native benchmark,53,54400687,grafana/k6,2025,1194,17,3,0.203518,0.792295,observed
Cloud Native benchmark,53,54400687,grafana/k6,2026,480,16,3,0.304167,0.775,observed
Cloud Native benchmark,54,156018,redis/redis,2024,242,12,2,0.446281,0.884298,observed
Cloud Native benchmark,54,156018,redis/redis,2025,211,10,2,0.35545,0.919431,observed
Cloud Native benchmark,54,156018,redis/redis,2026,152,10,2,0.427632,0.848684,observed
Cloud Native benchmark,55,131212638,google/gvisor,2024,75,2,1,0.973333,1.0,observed
Cloud Native benchmark,55,131212638,google/gvisor,2025,38,1,1,1.0,1.0,observed
Cloud Native benchmark,55,131212638,google/gvisor,2026,21,4,2,0.428571,1.0,observed
Cloud Native benchmark,56,1050944,infinispan/infinispan,2024,1004,9,2,0.483068,0.907371,observed
Cloud Native benchmark,56,1050944,infinispan/infinispan,2025,867,11,3,0.288351,0.846597,observed
Cloud Native benchmark,56,1050944,infinispan/infinispan,2026,337,12,2,0.4273,0.893175,observed
Cloud Native benchmark,57,36653430,hashicorp/nomad,2024,4824,30,2,0.393449,0.795605,observed
Cloud Native benchmark,57,36653430,hashicorp/nomad,2025,4209,24,3,0.347351,0.716797,observed
Cloud Native benchmark,57,36653430,hashicorp/nomad,2026,1258,18,3,0.351351,0.72814,observed
Cloud Native benchmark,58,1390248,saltstack/salt,2024,382,6,1,0.502618,0.989529,observed
Cloud Native benchmark,58,1390248,saltstack/salt,2025,327,4,1,0.941896,1.0,observed
Cloud Native benchmark,58,1390248,saltstack/salt,2026,388,5,1,0.92268,1.0,observed
Cloud Native benchmark,59,118510171,kgateway-dev/kgateway,2024,3547,27,4,0.154497,0.59064,observed
Cloud Native benchmark,59,118510171,kgateway-dev/kgateway,2025,540,13,2,0.344444,0.966667,observed
Cloud Native benchmark,59,118510171,kgateway-dev/kgateway,2026,94,7,1,0.680851,0.978723,observed
Cloud Native benchmark,60,31006158,apache/ignite,2024,178,16,3,0.224719,0.685393,observed
Cloud Native benchmark,60,31006158,apache/ignite,2025,313,11,2,0.380192,0.865815,observed
Cloud Native benchmark,60,31006158,apache/ignite,2026,257,14,4,0.155642,0.649805,observed
Cloud Native benchmark,61,137451403,alibaba/nacos,2024,213,3,1,0.924883,1.0,observed
Cloud Native benchmark,61,137451403,alibaba/nacos,2025,241,3,1,0.950207,1.0,observed
Cloud Native benchmark,61,137451403,alibaba/nacos,2026,240,3,1,0.958333,1.0,observed
Cloud Native benchmark,62,13753636,jhipster/generator-jhipster,2024,798,8,1,0.607769,0.994987,observed
Cloud Native benchmark,62,13753636,jhipster/generator-jhipster,2025,431,5,1,0.605568,1.0,observed
Cloud Native benchmark,62,13753636,jhipster/generator-jhipster,2026,330,6,1,0.59697,0.99697,observed
Cloud Native benchmark,63,224908244,WasmEdge/WasmEdge,2024,1516,7,2,0.317282,0.92942,observed
Cloud Native benchmark,63,224908244,WasmEdge/WasmEdge,2025,548,8,2,0.432482,0.95073,observed
Cloud Native benchmark,63,224908244,WasmEdge/WasmEdge,2026,441,5,2,0.396825,1.0,observed
Cloud Native benchmark,64,381952060,kubeshop/testkube,2024,2038,17,2,0.33317,0.798822,observed
Cloud Native benchmark,64,381952060,kubeshop/testkube,2025,957,13,2,0.390805,0.838036,observed
Cloud Native benchmark,64,381952060,kubeshop/testkube,2026,1038,21,2,0.397881,0.798651,observed
Cloud Native benchmark,65,206424,apache/cassandra,2024,565,17,2,0.435398,0.80885,observed
Cloud Native benchmark,65,206424,apache/cassandra,2025,642,25,3,0.274143,0.705607,observed
Cloud Native benchmark,65,206424,apache/cassandra,2026,208,15,3,0.288462,0.793269,observed
Cloud Native benchmark,66,135516270,k3s-io/k3s,2024,485,16,2,0.395876,0.857732,observed
Cloud Native benchmark,66,135516270,k3s-io/k3s,2025,374,12,2,0.473262,0.898396,observed
Cloud Native benchmark,66,135516270,k3s-io/k3s,2026,226,10,2,0.438053,0.924779,observed
Cloud Native benchmark,67,109451092,siderolabs/talos,2024,72,4,1,0.805556,1.0,observed
Cloud Native benchmark,67,109451092,siderolabs/talos,2025,13,2,1,0.692308,1.0,observed
Cloud Native benchmark,67,109451092,siderolabs/talos,2026,6,4,2,0.333333,1.0,observed
Cloud Native benchmark,68,12440855,Icinga/icinga2,2024,266,4,2,0.447368,1.0,observed
Cloud Native benchmark,68,12440855,Icinga/icinga2,2025,692,6,2,0.421965,0.99711,observed
Cloud Native benchmark,68,12440855,Icinga/icinga2,2026,311,7,2,0.421222,0.987138,observed
Cloud Native benchmark,69,152572186,wasmerio/wasmer,2024,1181,9,3,0.249788,0.895851,observed
Cloud Native benchmark,69,152572186,wasmerio/wasmer,2025,564,8,2,0.386525,0.916667,observed
Cloud Native benchmark,69,152572186,wasmerio/wasmer,2026,694,10,1,0.678674,0.95245,observed
Cloud Native benchmark,70,120181748,kiali/kiali,2024,362,13,4,0.162983,0.676796,observed
Cloud Native benchmark,70,120181748,kiali/kiali,2025,260,11,3,0.184615,0.773077,observed
Cloud Native benchmark,70,120181748,kiali/kiali,2026,291,12,2,0.33677,0.835052,observed
Cloud Native benchmark,71,236055696,grafana/tempo,2024,580,17,3,0.275862,0.767241,observed
Cloud Native benchmark,71,236055696,grafana/tempo,2025,686,17,4,0.176385,0.612245,observed
Cloud Native benchmark,71,236055696,grafana/tempo,2026,470,21,4,0.208511,0.604255,observed
Cloud Native benchmark,72,449649393,keploy/keploy,2024,1659,13,3,0.217601,0.823388,observed
Cloud Native benchmark,72,449649393,keploy/keploy,2025,701,17,3,0.28388,0.727532,observed
Cloud Native benchmark,72,449649393,keploy/keploy,2026,1414,22,4,0.288543,0.655587,observed
Cloud Native benchmark,73,179344069,woodpecker-ci/woodpecker,2024,610,7,2,0.293443,0.986885,observed
Cloud Native benchmark,73,179344069,woodpecker-ci/woodpecker,2025,408,6,1,0.534314,0.980392,observed
Cloud Native benchmark,73,179344069,woodpecker-ci/woodpecker,2026,247,5,2,0.461538,1.0,observed
Cloud Native benchmark,74,318490971,kubewarden/adm-controller,2024,125,4,2,0.44,1.0,observed
Cloud Native benchmark,74,318490971,kubewarden/adm-controller,2025,81,4,2,0.320988,1.0,observed
Cloud Native benchmark,74,318490971,kubewarden/adm-controller,2026,216,5,2,0.425926,1.0,observed
Cloud Native benchmark,75,56353740,kubernetes/minikube,2024,758,3,1,0.771768,1.0,observed
Cloud Native benchmark,75,56353740,kubernetes/minikube,2025,372,4,1,0.991935,1.0,observed
Cloud Native benchmark,75,56353740,kubernetes/minikube,2026,222,3,1,0.846847,1.0,observed
Cloud Native benchmark,76,180481986,apache/apisix,2024,193,14,3,0.253886,0.823834,observed
Cloud Native benchmark,76,180481986,apache/apisix,2025,183,14,3,0.256831,0.715847,observed
Cloud Native benchmark,76,180481986,apache/apisix,2026,226,10,3,0.230088,0.915929,observed
Cloud Native benchmark,77,31288958,hashicorp/vault,2024,12434,88,5,0.297008,0.548898,observed
Cloud Native benchmark,77,31288958,hashicorp/vault,2025,6559,81,7,0.224729,0.442141,observed
Cloud Native benchmark,77,31288958,hashicorp/vault,2026,521,14,1,0.946257,0.973129,observed
Cloud Native benchmark,78,177068961,kubeovn/kube-ovn,2024,1112,6,2,0.373201,0.999101,observed
Cloud Native benchmark,78,177068961,kubeovn/kube-ovn,2025,800,4,2,0.3875,1.0,observed
Cloud Native benchmark,78,177068961,kubeovn/kube-ovn,2026,606,5,1,0.577558,1.0,observed
Cloud Native benchmark,79,38812664,zalando/skipper,2024,841,9,2,0.397146,0.926278,observed
Cloud Native benchmark,79,38812664,zalando/skipper,2025,280,9,2,0.357143,0.935714,observed
Cloud Native benchmark,79,38812664,zalando/skipper,2026,231,10,2,0.484848,0.922078,observed
Cloud Native benchmark,80,3910314,cloudfoundry/bosh,2024,638,12,1,0.518809,0.95768,observed
Cloud Native benchmark,80,3910314,cloudfoundry/bosh,2025,294,7,1,0.826531,0.986395,observed
Cloud Native benchmark,80,3910314,cloudfoundry/bosh,2026,355,13,2,0.456338,0.91831,observed
Cloud Native benchmark,81,37912398,nginx/nginx,2024,53,3,1,0.943396,1.0,observed
Cloud Native benchmark,81,37912398,nginx/nginx,2025,44,4,1,0.590909,1.0,observed
Cloud Native benchmark,81,37912398,nginx/nginx,2026,42,9,1,0.5,0.904762,observed
Cloud Native benchmark,82,886774,rundeck/rundeck,2024,1878,25,6,0.110756,0.495208,observed
Cloud Native benchmark,82,886774,rundeck/rundeck,2025,615,21,3,0.21626,0.697561,observed
Cloud Native benchmark,82,886774,rundeck/rundeck,2026,526,12,2,0.271863,0.855513,observed
Cloud Native benchmark,83,2528254,Normation/rudder,2024,1158,9,2,0.414508,0.896373,observed
Cloud Native benchmark,83,2528254,Normation/rudder,2025,910,9,2,0.403297,0.915385,observed
Cloud Native benchmark,83,2528254,Normation/rudder,2026,524,11,1,0.589695,0.921756,observed
Cloud Native benchmark,84,1090311,elastic/logstash,2024,528,15,3,0.221591,0.770833,observed
Cloud Native benchmark,84,1090311,elastic/logstash,2025,979,23,3,0.187947,0.712972,observed
Cloud Native benchmark,84,1090311,elastic/logstash,2026,326,18,3,0.343558,0.733129,observed
Cloud Native benchmark,85,25459400,pinpoint-apm/pinpoint,2024,583,11,2,0.440823,0.83705,observed
Cloud Native benchmark,85,25459400,pinpoint-apm/pinpoint,2025,558,10,2,0.483871,0.910394,observed
Cloud Native benchmark,85,25459400,pinpoint-apm/pinpoint,2026,247,8,2,0.37247,0.906883,observed
Cloud Native benchmark,86,108278,chef/chef,2024,1306,13,2,0.367534,0.87366,observed
Cloud Native benchmark,86,108278,chef/chef,2025,1396,20,3,0.258596,0.815903,observed
Cloud Native benchmark,86,108278,chef/chef,2026,691,13,2,0.311143,0.875543,observed
