cohort,rank,repo_id,repo_name,year,push_events,push_actors,actors_for_50pct_pushes,top_actor_share,top_5_actor_share,quality_flag
Agentic AI Top 100,19,33884891,apache/airflow,2025,5183,39,4,0.31912,0.603126,observed
Agentic AI Top 100,19,33884891,apache/airflow,2026,2916,39,4,0.285322,0.60048,observed
Agentic AI Top 100,20,671269505,BerriAI/litellm,2024,7999,2,1,0.527191,1.0,observed
Agentic AI Top 100,20,671269505,BerriAI/litellm,2025,11087,11,1,0.510778,0.996933,observed
Agentic AI Top 100,20,671269505,BerriAI/litellm,2026,8241,33,5,0.146099,0.527242,observed
Agentic AI Top 100,21,612354784,ggml-org/llama.cpp,2024,3600,34,2,0.480833,0.784722,observed
Agentic AI Top 100,21,612354784,ggml-org/llama.cpp,2025,2525,46,2,0.402376,0.738218,observed
Agentic AI Top 100,21,612354784,ggml-org/llama.cpp,2026,1363,30,3,0.327219,0.689655,observed
Agentic AI Top 100,22,193215554,n8n-io/n8n,2024,7195,30,4,0.153718,0.573454,observed
Agentic AI Top 100,22,193215554,n8n-io/n8n,2025,20312,50,1,0.567694,0.672558,observed
Agentic AI Top 100,22,193215554,n8n-io/n8n,2026,9952,106,15,0.065916,0.234526,observed
Agentic AI Top 100,23,71932349,ray-project/ray,2024,5706,41,2,0.376972,0.763933,observed
Agentic AI Top 100,23,71932349,ray-project/ray,2025,6825,56,6,0.160293,0.478388,observed
Agentic AI Top 100,23,71932349,ray-project/ray,2026,3262,63,5,0.197118,0.536787,observed
Agentic AI Top 100,24,17165658,apache/spark,2024,2956,30,2,0.27571,0.784168,observed
Agentic AI Top 100,24,17165658,apache/spark,2025,2607,29,3,0.20023,0.744918,observed
Agentic AI Top 100,24,17165658,apache/spark,2026,1830,31,4,0.174317,0.643169,observed
Agentic AI Top 100,25,440752086,coder/coder,2024,7801,30,6,0.165107,0.476093,observed
Agentic AI Top 100,25,440752086,coder/coder,2025,8435,46,9,0.07374,0.330172,observed
Agentic AI Top 100,25,440752086,coder/coder,2026,11278,64,7,0.105249,0.417184,observed
Agentic AI Top 100,26,644461337,vercel/ai,2024,2747,11,1,0.756098,0.955588,observed
Agentic AI Top 100,26,644461337,vercel/ai,2025,4951,17,1,0.561301,0.869117,observed
Agentic AI Top 100,26,644461337,vercel/ai,2026,3131,37,2,0.321622,0.809326,observed
Agentic AI Top 100,27,839037098,mastra-ai/mastra,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,27,839037098,mastra-ai/mastra,2025,10485,27,4,0.166333,0.620982,observed
Agentic AI Top 100,27,839037098,mastra-ai/mastra,2026,9628,37,5,0.132634,0.501143,observed
Agentic AI Top 100,28,1054512829,vllm-project/vllm-omni,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,28,1054512829,vllm-project/vllm-omni,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,28,1054512829,vllm-project/vllm-omni,2026,1102,21,2,0.352995,0.796733,observed
Agentic AI Top 100,29,1008713177,QwenLM/qwen-code,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,29,1008713177,QwenLM/qwen-code,2025,151,7,2,0.357616,0.980132,observed
Agentic AI Top 100,29,1008713177,QwenLM/qwen-code,2026,4032,25,3,0.227431,0.714038,observed
Agentic AI Top 100,30,626805178,langgenius/dify,2024,7090,20,4,0.177433,0.736248,observed
Agentic AI Top 100,30,626805178,langgenius/dify,2025,5527,28,4,0.242627,0.656957,observed
Agentic AI Top 100,30,626805178,langgenius/dify,2026,5181,46,5,0.234318,0.540822,observed
Agentic AI Top 100,31,384219990,warpdotdev/warp,2024,29,2,1,0.793103,1.0,observed
Agentic AI Top 100,31,384219990,warpdotdev/warp,2025,19,3,1,0.842105,1.0,observed
Agentic AI Top 100,31,384219990,warpdotdev/warp,2026,2787,49,7,0.151776,0.435235,observed
Agentic AI Top 100,32,1170821064,paperclipai/paperclip,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,32,1170821064,paperclipai/paperclip,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,32,1170821064,paperclipai/paperclip,2026,1716,7,1,0.667249,0.994755,observed
Agentic AI Top 100,33,924058625,vllm-project/vllm-ascend,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,33,924058625,vllm-project/vllm-ascend,2025,795,6,1,0.693082,0.997484,observed
Agentic AI Top 100,33,924058625,vllm-project/vllm-ascend,2026,1178,19,1,0.506791,0.852292,observed
Agentic AI Top 100,34,391740664,open-metadata/OpenMetadata,2024,6816,25,6,0.136004,0.497653,observed
Agentic AI Top 100,34,391740664,open-metadata/OpenMetadata,2025,6283,38,7,0.122075,0.423683,observed
Agentic AI Top 100,34,391740664,open-metadata/OpenMetadata,2026,8358,45,8,0.119885,0.37497,observed
Agentic AI Top 100,35,156939672,microsoft/onnxruntime,2024,8709,85,9,0.085544,0.350212,observed
Agentic AI Top 100,35,156939672,microsoft/onnxruntime,2025,6332,64,6,0.183039,0.45957,observed
Agentic AI Top 100,35,156939672,microsoft/onnxruntime,2026,2837,51,6,0.184702,0.499119,observed
Agentic AI Top 100,36,805155266,CherryHQ/cherry-studio,2024,238,1,1,1.0,1.0,observed
Agentic AI Top 100,36,805155266,CherryHQ/cherry-studio,2025,3517,25,2,0.464601,0.820301,observed
Agentic AI Top 100,36,805155266,CherryHQ/cherry-studio,2026,4664,22,3,0.321612,0.732204,observed
Agentic AI Top 100,37,1153130349,pingdotgg/t3code,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,37,1153130349,pingdotgg/t3code,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,37,1153130349,pingdotgg/t3code,2026,2161,7,1,0.874132,0.995373,observed
Agentic AI Top 100,38,208728772,milvus-io/milvus,2024,206,6,2,0.412621,0.985437,observed
Agentic AI Top 100,38,208728772,milvus-io/milvus,2025,105,7,1,0.552381,0.980952,observed
Agentic AI Top 100,38,208728772,milvus-io/milvus,2026,170,10,2,0.329412,0.935294,observed
Agentic AI Top 100,39,1035029907,earendil-works/pi,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,39,1035029907,earendil-works/pi,2025,34,1,1,1.0,1.0,observed
Agentic AI Top 100,39,1035029907,earendil-works/pi,2026,1265,7,1,0.779447,0.992095,observed
Agentic AI Top 100,40,90506918,NVIDIA/cudf,2024,267,14,2,0.445693,0.913858,observed
Agentic AI Top 100,40,90506918,NVIDIA/cudf,2025,248,12,1,0.592742,0.927419,observed
Agentic AI Top 100,40,90506918,NVIDIA/cudf,2026,256,19,2,0.457031,0.796875,observed
Agentic AI Top 100,41,23496542,triton-lang/triton,2024,3138,23,2,0.299554,0.804653,observed
Agentic AI Top 100,41,23496542,triton-lang/triton,2025,3891,32,3,0.333847,0.765099,observed
Agentic AI Top 100,41,23496542,triton-lang/triton,2026,1667,31,3,0.347331,0.741452,observed
Agentic AI Top 100,42,1156956890,zeroclaw-labs/zeroclaw,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,42,1156956890,zeroclaw-labs/zeroclaw,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,42,1156956890,zeroclaw-labs/zeroclaw,2026,2702,20,2,0.373427,0.822354,observed
Agentic AI Top 100,43,826168160,docling-project/docling,2024,125,5,2,0.4,1.0,observed
Agentic AI Top 100,43,826168160,docling-project/docling,2025,720,13,2,0.255556,0.780556,observed
Agentic AI Top 100,43,826168160,docling-project/docling,2026,372,13,3,0.244624,0.860215,observed
Agentic AI Top 100,44,46398090,datahub-project/datahub,2024,2349,24,3,0.302256,0.775649,observed
Agentic AI Top 100,44,46398090,datahub-project/datahub,2025,4253,38,6,0.108864,0.47778,observed
Agentic AI Top 100,44,46398090,datahub-project/datahub,2026,4115,64,8,0.107169,0.389793,observed
Agentic AI Top 100,45,643445235,lobehub/lobehub,2024,2322,2,1,0.881998,1.0,observed
Agentic AI Top 100,45,643445235,lobehub/lobehub,2025,2769,7,1,0.800289,0.99061,observed
Agentic AI Top 100,45,643445235,lobehub/lobehub,2026,5032,10,2,0.387917,0.884141,observed
Agentic AI Top 100,46,575865240,AstrBotDevs/AstrBot,2024,182,1,1,1.0,1.0,observed
Agentic AI Top 100,46,575865240,AstrBotDevs/AstrBot,2025,1113,7,1,0.893082,0.994609,observed
Agentic AI Top 100,46,575865240,AstrBotDevs/AstrBot,2026,901,8,1,0.702553,0.993341,observed
Agentic AI Top 100,47,1147094660,HKUDS/nanobot,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,47,1147094660,HKUDS/nanobot,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,47,1147094660,HKUDS/nanobot,2026,1191,3,1,0.6356,1.0,observed
Agentic AI Top 100,48,790916393,NVIDIA/Model-Optimizer,2024,27,2,1,0.518519,1.0,observed
Agentic AI Top 100,48,790916393,NVIDIA/Model-Optimizer,2025,88,3,1,0.931818,1.0,observed
Agentic AI Top 100,48,790916393,NVIDIA/Model-Optimizer,2026,2563,43,8,0.141631,0.399922,observed
Agentic AI Top 100,49,824874689,cline/cline,2024,113,1,1,1.0,1.0,observed
Agentic AI Top 100,49,824874689,cline/cline,2025,3892,23,4,0.179342,0.65519,observed
Agentic AI Top 100,49,824874689,cline/cline,2026,2848,31,4,0.239817,0.653441,observed
Agentic AI Top 100,50,1043426082,OpenHands/software-agent-sdk,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,50,1043426082,OpenHands/software-agent-sdk,2025,77,1,1,1.0,1.0,observed
Agentic AI Top 100,50,1043426082,OpenHands/software-agent-sdk,2026,2886,21,4,0.186071,0.703396,observed
Agentic AI Top 100,51,1165324947,agentscope-ai/QwenPaw,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,51,1165324947,agentscope-ai/QwenPaw,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,51,1165324947,agentscope-ai/QwenPaw,2026,793,15,2,0.469105,0.923077,observed
Agentic AI Top 100,52,949546994,NVIDIA-NeMo/RL,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,52,949546994,NVIDIA-NeMo/RL,2025,1914,39,6,0.182341,0.467085,observed
Agentic AI Top 100,52,949546994,NVIDIA-NeMo/RL,2026,1995,69,5,0.163409,0.508271,observed
Agentic AI Top 100,53,818331198,pydantic/pydantic-ai,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,53,818331198,pydantic/pydantic-ai,2025,2431,11,2,0.316331,0.926779,observed
Agentic AI Top 100,53,818331198,pydantic/pydantic-ai,2026,2163,11,2,0.48405,0.963014,observed
Agentic AI Top 100,54,968197216,google-gemini/gemini-cli,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,54,968197216,google-gemini/gemini-cli,2025,2336,55,8,0.105736,0.378425,observed
Agentic AI Top 100,54,968197216,google-gemini/gemini-cli,2026,5556,55,11,0.066235,0.275378,observed
Agentic AI Top 100,55,158256479,apache/iceberg,2024,802,18,2,0.361596,0.82419,observed
Agentic AI Top 100,55,158256479,apache/iceberg,2025,862,21,2,0.353828,0.788863,observed
Agentic AI Top 100,55,158256479,apache/iceberg,2026,439,24,3,0.273349,0.671982,observed
Agentic AI Top 100,56,730534580,infiniflow/ragflow,2024,856,4,1,0.900701,1.0,observed
Agentic AI Top 100,56,730534580,infiniflow/ragflow,2025,1439,4,1,0.917304,1.0,observed
Agentic AI Top 100,56,730534580,infiniflow/ragflow,2026,1090,8,2,0.309174,0.959633,observed
