scenario,scope,sample_positive_prs,sample_merged_prs,repositories_with_positive_pr,sample_pr_share,sample_pr_share_ci_low,sample_pr_share_ci_high,sample_addition_share,sample_addition_share_ci_low,sample_addition_share_ci_high,sample_change_line_share,sample_change_line_share_ci_low,sample_change_line_share_ci_high,winsorized_change_line_share_p99,sample_commits_in_positive_pr_share,interpretation
strict_agent_only,2026-01-01_to_2026-08-31_top100_fixed_50_threads_per_repository_sample,8,2125,4,0.003765,0.001412,0.006591,0.000607,7.6e-05,0.001608,0.000548,9.9e-05,0.00133,0.000889,0.002469,严格下界：已确认 Coding Agent 发起，且当前 PR 的全部 commit 均可归因给 Agent。
strict_agent_touched,2026-01-01_to_2026-08-31_top100_fixed_50_threads_per_repository_sample,26,2125,15,0.012235,0.007947,0.017333,0.014044,0.003522,0.029847,0.015832,0.002875,0.036804,0.024351,0.022405,高置信 Agent 参与范围：Agent 发起或提交过代码，可能包含后续人类改写；不能把全部代码行算作 AI 生成。
expanded_agent_touched,2026-01-01_to_2026-08-31_top100_fixed_50_threads_per_repository_sample,28,2125,16,0.013176,0.008625,0.018031,0.014053,0.003376,0.033882,0.015843,0.00294,0.03779,0.024369,0.022771,加入中等置信度 Coding Agent 身份的敏感性上界。
verified_or_generated_claim,2026-01-01_to_2026-08-31_top100_fixed_50_threads_per_repository_sample,31,2125,17,0.014588,0.009854,0.019738,0.014296,0.003803,0.032338,0.0161,0.003335,0.037972,0.024785,0.023137,加入普通账号明确声明完整 AI/Agent 生成的 PR。
verified_or_any_ai_disclosure,2026-01-01_to_2026-08-31_top100_fixed_50_threads_per_repository_sample,33,2125,18,0.015529,0.010719,0.020979,0.014306,0.003746,0.032811,0.016111,0.00363,0.036147,0.024803,0.023503,最宽公开证据范围，包含 AI-assisted 声明；不等于完全由 AI 生成。
